iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
CHE,Europe,Switzerland,2021-10-03,841573.0,0.0,1169.714,11093.0,0.0,7.143,96560.562,0.0,134.211,1272.791,0.0,0.82,0.74,163.0,18.702,483.0,55.419,,,127.0,14.572,31056.0,10396629.0,1192.89,3.563,35250.0,4.045,0.038,26.3,tests performed,10496630.0,5551734.0,5065813.0,,3393.0,23061.0,120.44,63.7,58.12,,2646.0,44.44,8715494.0,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.955,,,,
SYR,Asia,Syria,2021-10-03,34920.0,224.0,278.143,2265.0,0.0,8.286,1910.734,12.257,15.219,123.935,0.0,0.453,1.17,,,,,,,,,,,,,,,,,,649730.0,482196.0,290221.0,,,7236.0,3.56,2.64,1.59,,396.0,,18275704.0,,21.7,,2.577,,,376.264,,,,70.598,1.5,72.7,0.567,,,,
TWN,Asia,Taiwan,2021-10-03,16250.0,6.0,8.714,843.0,0.0,0.286,681.199,0.252,0.365,35.338,0.0,0.012,1.01,,,,,,,,,23822.0,3393177.0,142.242,0.999,23159.0,0.971,0.0,2844.0,people tested,16558959.0,13477691.0,3081268.0,,396309.0,304126.0,69.42,56.5,12.92,,12749.0,36.57,23855008.0,,42.2,,8.353,,,103.957,,,,,,80.46,,,,,
TJK,Asia,Tajikistan,2021-10-03,17484.0,0.0,0.0,125.0,0.0,0.0,1793.3,0.0,0.0,12.821,0.0,0.0,-0.0,,,,,,,,,,,,,,,,,,4139385.0,2398703.0,1740682.0,,,38138.0,42.46,24.6,17.85,,3912.0,29.63,9749625.0,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668,,,,
TZA,Africa,Tanzania,2021-10-03,25846.0,0.0,3497.0,719.0,0.0,95.571,420.271,0.0,56.863,11.691,0.0,1.554,0.0,,,,,,,,,,,,,,,,,,560938.0,560938.0,560938.0,,,9588.0,0.91,0.91,0.91,,156.0,17.59,61498438.0,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529,,,,
THA,Asia,Thailand,2021-10-03,1637432.0,10828.0,10827.714,17014.0,77.0,106.571,23408.324,154.794,154.79,243.228,1.101,1.524,0.89,,,,,,,,,,,,,,,,,,46023016.0,29501110.0,15899158.0,622748.0,811915.0,625131.0,65.79,42.17,22.73,0.89,8937.0,55.09,69950844.0,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,,,,
TLS,Asia,Timor,2021-10-03,19582.0,19.0,28.571,118.0,0.0,0.714,14571.296,14.138,21.26,87.806,0.0,0.532,0.55,,,,,,,,,,,,,,,,,,711879.0,441510.0,270369.0,,7881.0,5141.0,52.97,32.85,20.12,,3826.0,,1343875.0,87.176,18.0,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.606,,,,
TGO,Africa,Togo,2021-10-03,25535.0,48.0,45.286,233.0,3.0,1.0,3011.827,5.662,5.341,27.482,0.354,0.118,0.84,,,,,,,,,840.0,509788.0,60.129,0.099,1454.0,0.171,0.059,17.0,tests performed,1125671.0,720739.0,404932.0,,,18291.0,13.28,8.5,4.78,,2157.0,,8478242.0,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.515,,,,
TON,Oceania,Tonga,2021-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73603.0,46126.0,27477.0,,,248.0,68.94,43.21,25.74,,2323.0,,106759.0,150.028,22.3,5.82,4.032,5425.621,,227.49,15.42,11.8,44.4,,2.6,70.91,0.725,,,,
TTO,North America,Trinidad and Tobago,2021-10-03,51243.0,159.0,184.857,1505.0,5.0,6.857,36514.144,113.298,131.723,1072.415,3.563,4.886,0.99,,,,,,,,,760.0,344713.0,245.632,0.542,1364.0,0.972,0.149,6.7,people tested,1089809.0,581504.0,508305.0,,3258.0,6330.0,77.66,41.44,36.22,,4511.0,83.33,1403374.0,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.796,,,,
